corpus,name,schema,constructor,positive_nodes
Coq root values,Taylor,all normalized constructors,Pi,13
Coq root values,Taylor,all normalized constructors,Let,8
Coq root values,Taylor,all normalized constructors,Lam,47
Coq root values,Taylor,all normalized constructors,Cast,7
Coq root values,Taylor,shared binary core,App,747
Coq root values,Taylor,shared binary core,Pi,13
Coq root values,Taylor,shared binary core,Let,8
Coq root values,Taylor,shared binary core,Lam,47
Coq root values,Wilson,all normalized constructors,App,4345
Coq root values,Wilson,all normalized constructors,Lam,625
Coq root values,Wilson,all normalized constructors,Pi,97
Coq root values,Wilson,all normalized constructors,Cast,23
Coq root values,Wilson,all normalized constructors,Coq:Sort,1
Coq root values,Wilson,all normalized constructors,Coq:CaseMatch,15
Coq root values,Wilson,all normalized constructors,Coq:CaseBranches,19
Coq root values,Wilson,all normalized constructors,Coq:Case,20
Coq root values,Wilson,all normalized constructors,Let,12
Coq root values,Wilson,shared binary core,App,4345
Coq root values,Wilson,shared binary core,Lam,625
Coq root values,Wilson,shared binary core,Pi,97
Coq root values,Wilson,shared binary core,Let,12
Coq root values,Zis_gcd_bezout,all normalized constructors,App,173
Coq root values,Zis_gcd_bezout,all normalized constructors,Lam,16
Coq root values,Zis_gcd_bezout,all normalized constructors,Let,3
Coq root values,Zis_gcd_bezout,all normalized constructors,Cast,2
Coq root values,Zis_gcd_bezout,shared binary core,App,173
Coq root values,Zis_gcd_bezout,shared binary core,Lam,16
Coq root values,Zis_gcd_bezout,shared binary core,Let,3
Coq root values,bertrand_ballot,all normalized constructors,App,1523
Coq root values,bertrand_ballot,all normalized constructors,Lam,227
Coq root values,bertrand_ballot,all normalized constructors,Coq:CaseMatch,27
Coq root values,bertrand_ballot,all normalized constructors,Coq:CaseBranches,29
Coq root values,bertrand_ballot,all normalized constructors,Coq:Case,29
Coq root values,bertrand_ballot,all normalized constructors,Pi,26
Coq root values,bertrand_ballot,all normalized constructors,Cast,17
Coq root values,bertrand_ballot,all normalized constructors,Coq:Sort,2
Coq root values,bertrand_ballot,all normalized constructors,Let,28
Coq root values,bertrand_ballot,all normalized constructors,Coq:Functions,6
