corpus,name,nodes,positive_nodes,zero_fraction,positive_mean,positive_variance,variance_ratio_to_ztp,fraction_degree_1,fraction_degree_2,fraction_degree_3,max_degree,poisson_lambda,poisson_ks,poisson_bootstrap_p,poisson_aic,geometric_aic,negative_binomial_aic,cmp_aic,cmp_nu,cmp_at_bound,aic_winner,delta_aic_poisson_cmp,delta_aic_poisson_cmp_per_positive_node,ordinary_poisson_aic_all,zero_inflated_poisson_aic_all,zip_lambda,zip_pi,zip_at_zero_boundary,zip_ks,zip_bootstrap_p,hurdle_poisson_aic_all,hurdle_geometric_aic_all,hurdle_negative_binomial_aic_all,hurdle_cmp_aic_all,mixed_model_aic_winner,delta_aic_zip_hurdle_cmp,delta_aic_zip_best_full_model,delta_aic_hurdle_poisson_cmp,schema
Coq root values,Cayley_Hamilton,982,791,0.1945010183299389,2.0012642225031607,0.02401862930151307,0.02020300012960009,0.007585335018963337,0.9873577749683944,0.0012642225031605564,4,1.5953209539944395,0.3983579334897536,0.005,1793.7402567983238,2196.5033419408055,1795.743289113455,194.01983155141352,22.18628021530273,False,cmp,1599.7204252469103,2.0224025603627185,2761.627848622133,2763.627848622133,1.6120162932790223,0.0,True,0.32044704112645894,0.005,2763.3717518842536,3166.1348370267356,2765.374784199385,1163.6513266373436,hurdle_cmp,1599.9765219847895,1599.9765219847895,1599.72042524691,all normalized constructors
Coq root values,Cayley_Hamilton,971,780,0.19670442842430483,2.0012820512820513,0.001280407626561473,0.001076979841520363,0.0,0.9987179487179487,0.001282051282051282,3,1.5953448781385402,0.4059371731435071,0.005,1762.3410726275754,2166.004857093115,1764.4414786106242,19.317305239848793,124.7471425861423,False,cmp,1743.0237673877266,2.2346458556252906,2725.3203044071884,2727.3203044071884,1.607621009268795,0.0,True,0.3257681937356084,0.005,2727.1841098290415,3130.847894294581,2729.28451581209,984.1603424413147,hurdle_cmp,1743.1599619658737,1743.1599619658737,1743.0237673877268,shared binary core
Coq root values,Ceva,2060,1587,0.22961165048543689,2.0396975425330814,0.03938188709541013,0.03181010219943048,0.000630119722747322,0.9590422180214241,0.04032766225582861,3,1.6466653894832999,0.3924020333270295,0.005,3659.486628078417,4488.208634215417,3661.4868380973467,557.0148291400692,25.89089990522253,False,cmp,3102.471798938348,1.9549286697784172,5889.419246554358,5881.3701021627685,1.6466653894832999,0.04573252505535597,False,0.3023019548009689,0.005,5881.3701021627685,6710.092108299768,5883.370312181698,2778.8983032244205,hurdle_cmp,3102.471798938348,3102.471798938348,3102.471798938348,all normalized constructors
Coq root values,Ceva,2040,1567,0.23186274509803922,2.0408423739629864,0.039174274452054146,0.03160499055084459,0.0,0.9591576260370134,0.0408423739629866,3,1.6481878961295149,0.39265447783346696,0.005,3614.743408869172,4434.088480853865,3616.7531362441164,538.6982572787674,78.6747225798153,False,cmp,3076.0451515904047,1.963015412629486,5835.458778094529,5826.134154112144,1.6481878961295149,0.04886629582411407,False,0.3016125327279621,0.005,5826.134154112144,6645.479226096836,5828.143881487087,2750.0890025217386,hurdle_cmp,3076.045151590405,3076.045151590405,3076.045151590405,shared binary core
Coq root values,Desargues,2055,1684,0.1805352798053528,2.0338479809976246,0.03745288900423716,0.030436067529631444,0.0017814726840855108,0.9631828978622328,0.0344418052256532,4,1.6388799125070077,0.3931865958065272,0.005,3873.321096288968,4749.109529902944,3875.84380697919,579.1918431924569,23.09335768195913,False,cmp,3294.129253096511,1.9561337607461466,5815.614137030577,5817.614137030577,1.6666666666666667,0.0,True,0.3216731404135468,0.005,5816.080305423875,6691.868739037851,5818.603016114097,2521.9510523273643,hurdle_cmp,3295.6630847032125,3295.6630847032125,3294.1292530965106,all normalized constructors
Coq root values,Desargues,2032,1661,0.18257874015748032,2.0349187236604456,0.033699406398370955,0.02735533540167216,0.0,0.9650812763395545,0.034918723660445516,3,1.6403057912001293,0.3946129324603118,0.005,3819.6287056388837,4686.679625463354,3821.628921086905,507.09964365058113,79.74688492467543,False,cmp,3312.5290619883026,1.9942980505649022,5752.2129440016815,5754.2129440016815,1.6633858267716535,0.0,True,0.3221229957392373,0.005,5753.171947598988,6620.2228674234575,5755.172163047008,2440.642885610685,hurdle_cmp,3313.5700583909966,3313.5700583909966,3312.5290619883026,shared binary core
Coq root values,Euler_Poincare_criterion,40,23,0.425,2.0,0.0,0.0,0.0,1.0,0.0,2,1.5936242600400345,0.40637573995996135,0.005,53.87021772889485,65.76954061151497,55.87023670135083,4.000000000040927,142.4357054701648,False,cmp,49.87021772885392,2.168270336037127,113.02667160724289,110.41858642735752,1.5936242600400345,0.2783744394233132,False,0.2336660504769777,0.005,110.41858642735752,122.31790930997764,112.41860539981349,60.548368698503594,hurdle_cmp,49.87021772885393,49.87021772885393,49.87021772885393,all normalized constructors
Coq root values,Euler_Poincare_criterion,40,23,0.425,2.0,0.0,0.0,0.0,1.0,0.0,2,1.5936242600400345,0.40637573995996135,0.005,53.87021772889485,65.76954061151497,55.87023670135083,4.000000000040927,142.4357054701648,False,cmp,49.87021772885392,2.168270336037127,113.02667160724289,110.41858642735752,1.5936242600400345,0.2783744394233132,False,0.2336660504769777,0.005,110.41858642735752,122.31790930997764,112.41860539981349,60.548368698503594,hurdle_cmp,49.87021772885393,49.87021772885393,49.87021772885393,shared binary core
Coq root values,Euler_exp_totient,624,509,0.1842948717948718,2.005893909626719,0.03336408304738672,0.027924805126472864,0.007858546168958742,0.9842829076620825,0.0019646365422396855,4,1.6015301074805548,0.3965052559772014,0.005,1158.661031025897,1417.397727803359,1160.7044752993595,161.63552696017723,20.667259025451063,False,cmp,997.0255040657198,1.9587927388324555,1755.7301443597332,1757.7301443597332,1.6362179487179487,0.0,True,0.3226062443533637,0.005,1757.0102203789631,2015.746917156425,1759.0536646524256,759.9847163132433,hurdle_cmp,997.7454280464899,997.7454280464899,997.0255040657198,all normalized constructors
Coq root values,Euler_exp_totient,613,498,0.18760195758564438,2.002008032128514,0.0020039999354849116,0.0016842950051753646,0.0,0.9979919678714859,0.002008032128514056,3,1.596318975077281,0.40568905705122876,0.005,1126.3664879734063,1384.1344750273356,1128.367726911322,18.419190776592586,117.29401075503134,False,cmp,1107.9472971968137,2.224793769471513,1718.7184633679417,1720.7184633679417,1.6264274061990212,0.0,True,0.32883457170075636,0.005,1720.1898331910998,1977.9578202450289,1722.1910721290155,612.242535994286,hurdle_cmp,1108.4759273736558,1108.4759273736558,1107.947297196814,shared binary core
Coq root values,FTA,81,54,0.3333333333333333,2.0,0.0,0.0,0.0,1.0,0.0,2,1.5936242600400345,0.40637573995996135,0.005,123.78225032001399,151.7197910009482,125.7822630636729,4.000000000007276,438.8091972188949,False,cmp,119.78225032000671,2.218189820740865,230.72056785088944,228.89754558377365,1.5936242600400345,0.16333268338934862,False,0.2709171599733076,0.005,228.89754558377365,256.83508626470785,230.8975583274326,109.11529526376695,hurdle_cmp,119.7822503200067,119.7822503200067,119.7822503200067,all normalized constructors
Coq root values,FTA,81,54,0.3333333333333333,2.0,0.0,0.0,0.0,1.0,0.0,2,1.5936242600400345,0.40637573995996135,0.005,123.78225032001399,151.7197910009482,125.7822630636729,4.000000000007276,438.8091972188949,False,cmp,119.78225032000671,2.218189820740865,230.72056785088944,228.89754558377365,1.5936242600400345,0.16333268338934862,False,0.2709171599733076,0.005,228.89754558377365,256.83508626470785,230.8975583274326,109.11529526376695,hurdle_cmp,119.7822503200067,119.7822503200067,119.7822503200067,shared binary core
Coq root values,FTC1,1181,959,0.18797629127857748,2.0072992700729926,0.01767351940509807,0.014770029282513327,0.0031282586027111575,0.9885297184567258,0.006256517205422315,4,1.603413594729574,0.40075741674070336,0.005,2177.1595718628987,2670.591190554236,2179.1696782859026,184.14826104771782,24.113860770719494,False,cmp,1993.0113108151809,2.0782182594527434,3319.447325774374,3321.447325774374,1.6299745977984759,0.0,True,0.3247863811419237,0.005,3320.655652543342,3814.0872712346795,3322.665758966346,1327.6443417281612,hurdle_cmp,1993.8029840462127,1993.8029840462127,1993.0113108151809,all normalized constructors
Coq root values,FTC1,1174,952,0.1890971039182283,2.0063025210084033,0.006262799237341995,0.0052394969675372055,0.0,0.9936974789915967,0.0063025210084033615,3,1.602077798782331,0.4042247222260679,0.005,2156.5354068340866,2649.8033815404524,2158.5361774321855,76.76377196639078,122.73270162198317,False,cmp,2079.771634867696,2.184634070239176,3295.793070357092,3297.793070357092,1.626916524701874,0.0,True,0.32718301720543885,0.005,3297.1066799511573,3790.374654657523,3299.107450549256,1217.3350450834612,hurdle_cmp,2080.4580252736305,2080.4580252736305,2079.771634867696,shared binary core
Coq root values,Goedel_sIncompleteness1st,221,153,0.3076923076923077,2.0588235294117645,0.09457900807381775,0.07491262887378708,0.013071895424836602,0.9215686274509803,0.058823529411764705,4,1.6720495774194617,0.37370205656746086,0.005,360.19697646468103,438.42554589877113,362.1969966527154,113.50155986435584,15.812080858739177,False,cmp,246.6954166003252,1.6123883437929751,642.7970225207408,635.017838685492,1.6720495774194617,0.1475495788135575,False,0.25871680839285743,0.005,635.017838685492,713.2464081195822,637.0178588735264,388.32242208516686,hurdle_cmp,246.6954166003252,246.6954166003252,246.6954166003252,all normalized constructors
