pair,source,side,tokens_scored,mean_nll,median_nll,p95_nll,claim_boundaries,mean_boundary_delta_nll,mean_boundary_excess_nll,mean_content_boundary_delta_nll,mean_content_boundary_excess_nll
pair_33135e91,olympiads,a,290,2.078572828673895,2.0078275857674663,4.6644806091443565,8,-0.0995131495783699,-0.05573973450451142,0.05852947438255959,0.10230288945641805
pair_33135e91,olympiads,h,250,1.9917272980056377,1.70628070481926,4.553336313084837,4,-0.13362675460373208,-0.07475918848322921,-0.1756145680292281,-0.11674700190872521
pair_33b83cd5,cn_k12,a,834,3.2274533980130418,2.3000624305072734,10.485903935780016,19,-0.2188442757530712,-0.12027796407618829,0.05078780404398118,0.1493541157208641
pair_33b83cd5,cn_k12,h,787,3.354248163528859,2.365303250847289,10.473111208705262,22,0.24515753406017257,0.2762012672354057,0.18230572527090133,0.21334945844613448
pair_34b2dbc3,math_train,a,162,3.0979404236519956,2.3834599784540678,7.933401250790866,3,1.0229042056625663,1.246076514023926,0.9517187091772289,1.1748910175385887
pair_34b2dbc3,math_train,h,82,3.419502452155452,2.5628061990761215,8.459331547462666,1,1.1786505828062266,1.5538781225805416,1.6180601272313577,1.9932876670056727
pair_34e33ffa,secondary_math,a,1335,2.204400524261731,2.2248461867229077,4.284738160067006,50,-0.08718353362712851,-0.037186572204884076,0.10642764738391698,0.1564246088061614
pair_34e33ffa,secondary_math,h,583,2.651765818831038,2.2731875045617236,7.446723394853282,14,0.8637695220645332,0.9299644629305861,0.4757733945938179,0.5419683354598709
pair_358e95d5,number_theory,a,472,2.6013989536811617,2.396526269047376,5.2670534863429275,11,-0.20170323000339588,-0.1918951334456872,-0.02884943990091495,-0.019041343343206285
pair_358e95d5,number_theory,h,896,3.252733098752208,2.8345013517065736,7.665119814984505,5,-0.3553681361070488,-0.394125361344818,-0.04491303395311501,-0.08367025919088411
pair_3757881d,olympiads,a,918,3.643599691161534,2.555410305137787,17.097980633286777,21,-1.1565989035766642,-1.3292444607141727,-0.797529686527734,-0.9701752436652429
pair_3757881d,olympiads,h,1176,3.5732561763747603,2.5276266611517144,17.097980633286777,28,-0.037396679176537315,-0.022082803211001343,-0.07306200102465683,-0.05774812505912086
pair_37c40664,math_train,a,343,3.4866820394801734,2.7420483549336785,9.571409115341668,4,-1.6493105253822398,-1.8125476895642638,-1.6158985211526797,-1.7791356853347038
pair_37c40664,math_train,h,270,3.491749300196987,2.6803405361770176,9.629041542623122,1,0.11440830052412476,0.06950168082344407,2.0055955926000513,1.9606889728993706
pair_37d880cd,number_theory,a,339,2.5989128697374526,2.4332241301855153,5.760812514257626,3,0.06631749373044811,0.03696971180585029,-0.3248370900771375,-0.3541848720017353
pair_37d880cd,number_theory,h,374,3.7444473561209186,2.873687164358731,13.607402820306532,2,2.222932555978674,2.3280379565043248,1.1669187497257325,1.2720241502513838
pair_3b1172ec,cn_k12,a,74,5.133808497433716,3.0279482846211674,20.28804022359602,0,,,,
pair_3b1172ec,cn_k12,h,111,3.899549622578006,2.9137919870509172,14.28221843987645,0,,,,
pair_3b470502,math_train,a,361,3.784512780786321,2.635898811563785,12.761128225721585,0,,,,
pair_3b470502,math_train,h,362,3.850575785644823,2.7071325385594984,12.725931095987645,0,,,,
pair_3cca9874,math_train,a,395,2.4185730080301284,2.2261400541273986,5.512332569171601,2,0.1320712322051556,0.1328668212183517,0.9091610991068678,0.9099566881200639
pair_3cca9874,math_train,h,132,3.1936298671411123,2.607432896210447,7.124310158354132,0,,,,
