pair,side,source,status,source_claims,root_nodes,root_node_digits,term_lets,matched,match_share,unambiguous_matched,term_uses,zero_term_use,one_term_use,multi_term_use,polarized_term_use,reuse_excess,potential_inlining_nodes
pair_085513ab,a,olympiads_ref,ok,8,3047018,7,8,8,1.0,8,37,0,3,5,5,29,1381521
pair_085513ab,h,olympiads_ref,ok,5,756527,6,7,5,1.0,5,19,0,1,4,4,14,186524
pair_0860c63c,a,olympiads,ok,3,17370,5,3,3,1.0,3,4,0,2,1,1,1,181
pair_0860c63c,h,olympiads,ok,1,1013562,7,5,1,1.0,1,1,0,1,0,0,0,0
pair_08614389,a,math_train,ok,0,1175341,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_08614389,h,math_train,ok,0,37169,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_087209d4,a,inequalities,ok,0,1613513,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_087209d4,h,inequalities,ok,0,1482949,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_087abd10,a,olympiads,ok,0,3235035,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_087abd10,h,olympiads,ok,0,5004145,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_087d3592,a,number_theory,ok,0,31,2,0,0,1.0,0,0,0,0,0,0,0,0
pair_087d3592,h,number_theory,ok,0,31,2,0,0,1.0,0,0,0,0,0,0,0,0
pair_08a1283b,a,math_train,ok,24,1287260,7,30,24,1.0,3,30,12,10,2,14,18,23852
pair_08a1283b,h,math_train,ok,3,1316093,7,6,3,1.0,3,15,0,1,2,2,12,23546
pair_08a52a63,a,amc_aime,ok,0,561,3,0,0,1.0,0,0,0,0,0,0,0,0
pair_08a52a63,h,amc_aime,ok,6,6247368,7,12,6,1.0,6,8,0,4,2,2,2,1711684
pair_08a92869,a,math_train,ok,0,267179,6,0,0,1.0,0,0,0,0,0,0,0,0
pair_08a92869,h,math_train,ok,0,267179,6,0,0,1.0,0,0,0,0,0,0,0,0
pair_08acb0c8,a,olympiads,ok,0,1,1,0,0,1.0,0,0,0,0,0,0,0,0
pair_08acb0c8,h,olympiads,ok,0,1,1,0,0,1.0,0,0,0,0,0,0,0,0
pair_08bd7807,a,math_train,ok,5,3642954,7,5,5,1.0,5,16,2,0,3,5,13,193
pair_08bd7807,h,math_train,ok,1,329075,6,2,1,1.0,1,2,0,0,1,1,1,201356
pair_08d7b69c,a,amc_aime,ok,2,567347,6,2,2,1.0,2,2,0,2,0,0,0,0
pair_08d7b69c,h,amc_aime,ok,2,168036,6,2,2,1.0,2,2,0,2,0,0,0,0
pair_08df4dc6,a,amc_aime,ok,3,1000368,7,7,3,1.0,3,2,2,0,1,3,1,214881
pair_08df4dc6,h,amc_aime,ok,1,43641,5,1,1,1.0,1,1,0,1,0,0,0,0
pair_08f02264,a,cn_k12,ok,1,252672,6,1,1,1.0,1,1,0,1,0,0,0,0
pair_08f02264,h,cn_k12,ok,2,473439,6,3,2,1.0,1,2,0,2,0,0,0,0
pair_08f791c1,a,amc_aime,ok,0,6311,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_08f791c1,h,amc_aime,ok,0,19735,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_090aa385,a,cn_k12,ok,3,162992,6,3,3,1.0,1,6,1,1,1,2,4,117924
pair_090aa385,h,cn_k12,ok,0,166525,6,0,0,1.0,0,0,0,0,0,0,0,0
pair_090e1b97,a,amc_aime,ok,30,13713495,8,36,30,1.0,24,40,1,25,4,5,11,13819896
pair_090e1b97,h,amc_aime,ok,1,774909,6,8,1,1.0,1,1,0,1,0,0,0,0
pair_093e8d88,a,aops_forum,ok,29,2510538,7,29,29,1.0,16,44,15,10,4,19,30,13293762
pair_093e8d88,h,aops_forum,ok,5,797057,6,22,5,1.0,2,6,0,4,1,1,1,16194
pair_097bfb4c,a,math_train,ok,1,65965,5,1,1,1.0,1,1,0,1,0,0,0,0
pair_097bfb4c,h,math_train,ok,0,79191,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_09995502,a,math_train,ok,0,1989,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_09995502,h,math_train,ok,0,515,3,0,0,1.0,0,0,0,0,0,0,0,0
pair_09c6790c,a,amc_aime,ok,9,974801,6,12,9,1.0,5,37,2,5,2,4,30,3536042
pair_09c6790c,h,amc_aime,ok,3,16126,5,3,3,1.0,3,3,0,3,0,0,0,0
pair_09fe542e,a,math_train,ok,25,3400686,7,27,25,1.0,9,29,3,17,5,8,7,2563109
pair_09fe542e,h,math_train,ok,13,2099333,7,23,13,1.0,3,25,0,7,6,6,12,3339428
pair_0a03020c,a,olympiads,ok,0,48481,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_0a03020c,h,olympiads,ok,0,13839,5,0,0,1.0,0,0,0,0,0,0,0,0
