in_alpha_powerlaw,in_alpha_xmin10,in_fit_status,in_lr_power_vs_exponential,in_lr_power_vs_lognormal,in_lr_power_vs_stretched_exponential,in_n_tail,in_p_power_vs_exponential,in_p_power_vs_lognormal,in_p_power_vs_stretched_exponential,in_xmin,name,out_alpha_powerlaw,out_alpha_xmin10,out_fit_status,out_lr_power_vs_exponential,out_lr_power_vs_lognormal,out_lr_power_vs_stretched_exponential,out_n_tail,out_p_power_vs_exponential,out_p_power_vs_lognormal,out_p_power_vs_stretched_exponential,out_xmin
,,insufficient tail variation,,,,0,,,,10,Strict_Rel_is_Strict_Included,,,insufficient tail variation,,,,8,,,,10
,,insufficient tail variation,,,,8,,,,10,Sylow_s_theorem,2.156724756619698,2.1567247566196985,,4.516822086586023,-0.7169735068715803,-0.042245745380631694,526,6.27746048100225e-06,0.47339044389883334,0.9663027955495157,10
2.999999999999999,11.005952596925594,,-12.353856619772419,-15.48480211549176,-13.301913980132003,189,4.643106373579902e-35,4.3941251930082995e-54,2.2561792229654284e-40,10,Taylor,2.2015420391454543,2.201542039145454,,4.727693554020044,-0.17132976331342875,1.3294183480636335,615,2.2708456072696714e-06,0.8639644787135576,0.18370998778473469,10
2.999999999999999,9.309452858680217,,-3.9949978458198068,-3.9912863045995155,-4.118238622926853,13,6.469484118584056e-05,6.571588750209657e-05,3.8177926366955175e-05,10,Wilson,2.087044446759683,2.087044446759683,,4.77938021669184,-0.3111633325323492,0.6385540144017279,434,1.758363928073229e-06,0.755676456678717,0.5231131048821136,10
2.999999999999999,6.111337672908055,,-8.447042524793245,-6.864860429152885,-7.360855216410953,31,2.987749215672077e-17,6.655629287981537e-12,1.827356808300355e-13,10,Zgcd_is_gcd,2.2626914856946887,2.2626914856946887,,3.868536333094672,-1.0040428773069303,1.843267057256453,318,0.00010949062318984173,0.31535794692681984,0.06529002843987523,10
2.999999999999999,4.424684030196273,,-5.181670234692855,-4.9889196239139295,-5.707537395012748,261,2.1990775413158084e-07,6.071790120105148e-07,1.1462244328841332e-08,10,Zis_gcd_bezout,2.232535443047275,2.232535443047275,,3.621848326086733,-0.20162066536493137,1.0090201691563623,489,0.00029250561228681265,0.8402132883727792,0.31296496143765795,10
,,insufficient tail variation,,,,1,,,,10,bertrand_ballot,2.214694886185363,2.214694886185363,,5.691112569678249,-0.9973797495426397,2.5925764124514887,686,1.2621426068152974e-08,0.31858021696560856,0.009526001710016292,10
2.999999999999999,4.308316573444545,,-7.399540095213802,-6.522630117921441,-7.371997873905362,429,1.3665695698681396e-13,6.908508444214269e-11,1.6808969877905983e-13,10,binomial,2.105673921846604,2.1056739218466034,,4.8887579528512415,-0.7507759108417424,0.045982949601656845,537,1.0147416918798503e-06,0.4527875291493578,0.9633238397802419,10
2.999999999999999,5.671837802128562,,-12.522953509038473,-4.700088754173537,-4.78727134227812,25,5.591505049230628e-36,2.600484446496721e-06,1.6906418662848434e-06,10,birthday_paradox,2.1045880499348373,2.1045880499348373,,4.649438491621471,-0.16429061191031016,0.919942734941137,304,3.3283992173120382e-06,0.8695023718877843,0.3576026851678694,10
,,insufficient tail variation,,,,1,,,,10,card_powerset,2.126826040814392,2.126826040814392,,6.558069146751979,-0.5433477374894277,0.47096603996316677,565,5.450893473160298e-11,0.5868904020073153,0.6376649864547007,10
2.999999999999999,5.523073876489543,,-29.257991405676684,-11.511374560191824,-12.81512938447938,115,3.553233538958373e-188,1.1562066375509665e-30,1.3491313927439415e-37,10,div3,2.2164649990635565,2.2164649990635574,,4.120816669049213,-1.0017299901311243,1.8229473387131954,397,3.775317609105623e-05,0.3164740181175939,0.06831136717684672,10
,,insufficient tail variation,,,,3,,,,10,divisors_correct,2.1263842918831877,2.1263842918831877,,4.877079789157981,-0.3914253479257991,1.3279768706249475,304,1.076678918726026e-06,0.6954828590017028,0.1841857479680773,10
2.999999999999999,11.140929932437194,,-5.618755723949269,-5.486301905983891,-5.570323641592919,23,1.9233755951735097e-08,4.104352033527719e-08,2.5426657451683098e-08,10,edivpP,2.157242258272956,2.157242258272956,,4.229965987688427,-1.665247849608308,-1.715983403411234,456,2.3372664758481472e-05,0.0958633181895947,0.0861650800954103,10
2.999999999999999,4.685911521139867,,1.2830095233026702,-10.197785492282502,-8.382643967597128,1424,0.19948873965250935,2.028447749321703e-24,5.175183503271595e-17,10,euclid_book,2.1379408178298758,2.1379408178298753,,6.984698736832005,-0.9902012971889032,4.931697209976247,2763,2.8546788153379883e-12,0.3220757386442149,8.151821032373988e-07,10
