uuid,source,h_n_lines,h_n_tactics,h_n_have,h_n_premise_refs,h_premises_loose,h_premises_strict,a_n_lines,a_n_tactics,a_n_have,a_n_premise_refs,a_premises_loose,a_premises_strict
74d1dc10-e86d-5008-a8ec-94c4b0939cd4,math_train,24,14,3,9,8,5,22,14,2,1,2,0
55d03933-c600-5008-8bf5-236bd6f02582,number_theory,6,3,3,6,6,3,2,0,0,1,2,0
70ad8bd3-342d-595f-b4c5-893be73d694b,amc_aime,43,25,11,7,6,3,21,13,0,2,3,0
6e91ac89-89fa-50ae-b5ab-4c11ec928b58,number_theory,2,0,0,1,2,0,2,0,0,2,3,1
a30cb84e-6533-5854-8a1a-5d8e73dd0fec,olympiads,1,0,0,2,3,2,2,0,0,2,3,2
44ba9cd0-257e-5975-880d-89794c26320f,cn_k12,34,23,7,2,3,2,14,7,2,3,4,3
47b1b03f-b470-5174-bd3b-ca0b19dd717e,math_train,9,3,0,2,2,0,10,3,2,2,2,0
06c49753-805c-56d8-8d25-a0e91b8e9a86,math_test,8,4,0,5,4,2,10,6,0,5,4,2
1f31e1b9-79b8-5076-9cb5-ceb79ebc4259,math_train,19,13,1,5,5,2,19,7,4,10,5,2
328bfced-3dee-54fe-8f37-c72b63d31cc7,math_train,2,0,0,2,3,1,2,0,0,2,3,1
6908990e-494a-53c3-860a-659bf4a9ade1,number_theory,6,0,0,4,2,1,6,0,0,4,2,1
d0dfff17-aaff-508a-8a80-d02b26d87eb6,math_train,4,1,0,3,5,2,4,1,0,5,7,4
5f70b34a-b725-5604-8b74-7fe0bf51b7ec,olympiads_ref,139,57,26,44,13,7,2,0,0,1,5,0
37d880cd-27a6-56c3-bdd1-55a407ebff8d,number_theory,30,16,4,15,12,9,27,11,3,18,5,2
22ff4e26-7949-517b-9c2b-94181380b027,number_theory,55,47,12,34,21,18,38,18,6,24,3,2
e9663c68-2c1c-5d61-957b-e7cd7aae4a1f,aops_forum,1,0,0,2,3,1,2,0,0,2,3,1
4c110c3c-d97b-56e5-9fd4-fc61340e2e05,math_train,2,0,0,2,3,2,2,0,0,2,3,2
0b123512-03ec-5399-ba14-75ae60065713,math_train,46,25,8,25,18,14,6,1,0,6,7,4
3599ccac-2cd9-552e-9683-a6a37294ef05,math_test,6,2,1,9,10,8,6,3,1,3,4,2
beeb44b5-456e-5702-aed8-93e73fe92d98,math_train,3,0,0,2,3,1,3,0,0,2,3,1
0e3ec0d0-15f7-56ee-8ba4-61d55ec33c90,olympiads,31,17,2,18,9,4,34,15,2,22,10,5
db881e0a-2729-5beb-ad50-d04ea7749c88,number_theory,7,0,0,5,2,0,20,9,0,10,3,1
3a8c6217-59dc-56dc-91a4-b9d7d99d1648,math_train,5,1,0,1,2,1,21,5,6,1,2,1
9749d118-2a41-5fb5-ab21-883caf87cf14,math_train,5,3,1,10,5,4,6,3,1,10,5,4
