src,dst,cls,sub,load,capacity
3506,3502,machine,SimpleRewrites,0,57600
2988,2979,machine,SimpleRewrites,9,7022224
4551,4543,machine,SimpleRewrites,0,11604
1177,1176,machine,TrivialBruteforce,0,7022224
2566,3121,machine,VampireProven,4,98642
3182,3143,machine,SimpleRewrites,0,7022224
4320,0,machine,GeneratedOther,1,2008
2744,29,machine,EquationSearch,10,7022224
978,2944,machine,VampireProven,122,7022224
1257,1247,machine,SimpleRewrites,0,5424
1503,2179,machine,MagmaEgg,0,182428
3995,3953,machine,SimpleRewrites,1,5745
427,2648,machine,VampireProven,2,6276
4206,4204,machine,SimpleRewrites,1,2979740
2993,2861,machine,SimpleRewrites,1,6272
1471,1470,machine,SimpleRewrites,0,965425
2881,2851,machine,SimpleRewrites,0,5241
3749,3357,machine,VampireProven,41,2979740
998,892,machine,SimpleRewrites,1,570121
2650,2644,machine,SimpleRewrites,40,570121
2095,2093,machine,SimpleRewrites,0,7022224
1882,1845,machine,SimpleRewrites,19,965425
720,719,machine,TrivialBruteforce,2,7022224
4574,4527,machine,SimpleRewrites,0,251292
3793,3751,machine,SimpleRewrites,1,6141
162,1676,machine,TrivialBruteforce,12,965425
2477,163,machine,VampireProven,64,965425
3527,41,machine,EquationSearch,0,404096
2055,2052,machine,SimpleRewrites,0,7320
1232,101,machine,VampireProven,0,75360
3394,3391,machine,SimpleRewrites,39,436620
2468,2440,machine,SimpleRewrites,1,3546
379,3744,machine,TrivialBruteforce,11,807177
4512,4509,machine,SimpleRewrites,0,24492
2794,2745,machine,SimpleRewrites,5,4854
3692,3689,machine,SimpleRewrites,3,13832
3614,3601,machine,SimpleRewrites,0,2979740
689,4688,machine,VampireProven,0,11508
3249,3187,machine,SimpleRewrites,21,1816144
1256,1226,machine,SimpleRewrites,0,33138
2130,1,machine,MagmaEgg,0,7022224
839,835,machine,SimpleRewrites,0,4728
3739,3724,machine,SimpleRewrites,2,6441
3296,3268,machine,SimpleRewrites,0,7800
1975,2982,machine,VampireProven,129,7022224
2714,2707,machine,SimpleRewrites,0,7022224
2608,2492,machine,SimpleRewrites,0,6272
4268,4315,machine,TrivialBruteforce,4,8604
3847,3794,machine,SimpleRewrites,3,2979740
1901,1897,machine,SimpleRewrites,0,7585
3932,3928,machine,SimpleRewrites,12,123464
170,115,machine,EquationSearch,30,7022224
197,189,machine,SimpleRewrites,15,965425
3349,4589,machine,TrivialBruteforce,0,5793
2725,2838,machine,EquationSearch,167,7022224
1554,1552,machine,SimpleRewrites,0,7022224
2822,2805,machine,SimpleRewrites,0,7022224
227,2742,machine,VampireProven,1,4749
47,3253,machine,EquationSearch,0,6388
